Account Number,Suite,House Number,Street Name,Garage,Neighbourhood ID,Neighbourhood,Ward,Assessed Value,Latitude,Longitude,Point Location,Assessment Class % 1,Assessment Class % 2,Assessment Class % 3,Assessment Class 1,Assessment Class 2,Assessment Class 3
9999330,,1713,ROBERTSON PLACE SW,Y,5454,RUTHERFORD,Ipiihkoohkanipiaohtsi Ward,481500,53.42051565,-113.5316163,POINT (-113.53161625491973 53.4205156452796),100,,,RESIDENTIAL,,
9984036,1606,9741,110 STREET NW,N,1151,WÎHKWÊNTÔWIN,O-day'min Ward,318000,53.53524727353832,-113.5097446,POINT (-113.50974455041117 53.53524727353832),100,,,RESIDENTIAL,,
9992821,,,,N,5620,HODGSON,pihêsiwin Ward,8500,53.46070520172884,-113.5666409,POINT (-113.5666409071016 53.46070520172884),100,,,RESIDENTIAL,,
9981729,,1739,HASWELL COVE NW,Y,5610,HADDOW,pihêsiwin Ward,665500,53.45339386860677,-113.602085,POINT (-113.60208498060491 53.45339386860677),100,,,RESIDENTIAL,,
9999031,,14016,152 AVENUE NW,N,3150,CUMBERLAND,Anirniq Ward,344500,53.61389158097445,-113.5619572,POINT (-113.5619572387559 53.61389158097445),100,,,RESIDENTIAL,,
10006694,,2406,33A STREET NW,Y,6442,SILVER BERRY,Sspomitapi Ward,472000,53.45437285309036,-113.3931719,POINT (-113.39317194774989 53.45437285309036),100,,,RESIDENTIAL,,
10009278,415,10403,98 AVENUE NW,N,1090,DOWNTOWN,O-day'min Ward,236000,53.535201256599045,-113.499772,POINT (-113.49977198768597 53.535201256599045),100,,,RESIDENTIAL,,
10001709,,20115,54 AVENUE NW,Y,4461,THE HAMPTONS,sipiwiyiniwak Ward,433000,53.489441704016514,-113.6689852,POINT (-113.66898518190189 53.489441704016514),100,,,RESIDENTIAL,,
10005528,,12949,162A AVENUE NW,Y,3320,OXFORD,Anirniq Ward,458000,53.62439127816136,-113.5466734,POINT (-113.54667343146713 53.62439127816136),100,,,RESIDENTIAL,,
10003592,308,9503,101 AVENUE NW,N,1210,RIVERDALE,O-day'min Ward,272000,53.5426994,-113.4782852,POINT (-113.47828519170925 53.5426993999657),100,,,RESIDENTIAL,,
10001626,,20048,54A AVENUE NW,Y,4461,THE HAMPTONS,sipiwiyiniwak Ward,341500,53.49031000798152,-113.6677567,POINT (-113.66775668259245 53.49031000798152),100,,,RESIDENTIAL,,
9982023,,,,N,4310,MEADOWLARK PARK,sipiwiyiniwak Ward,6500,53.52221379821845,-113.5918417,POINT (-113.59184166509118 53.52221379821845),100,,,RESIDENTIAL,,
9980587,,14023,MANNING DRIVE NW,N,2145,CLAREVIEW TOWN CENTRE,Dene Ward,21000,53.60334590631248,-113.4123216,POINT (-113.41232161478011 53.60334590631248),100,,,COMMERCIAL,,
9995502,,,,N,6240,FULTON PLACE,Métis Ward,9500,53.54452023240184,-113.4326656,POINT (-113.43266563401859 53.54452023240184),100,,,RESIDENTIAL,,
10001452,,1311,THOMPSON COURT NW,Y,5640,TERWILLEGAR TOWNE,pihêsiwin Ward,624500,53.44618291321707,-113.5703614,POINT (-113.570361405407 53.44618291321707),100,,,RESIDENTIAL,,
10009724,,1544,BLACKMORE WAY SW,Y,5453,BLACKMUD CREEK,Ipiihkoohkanipiaohtsi Ward,816500,53.417853793252384,-113.5043995,POINT (-113.50439951854739 53.417853793252384),100,,,RESIDENTIAL,,
10001095,,3562,MCLEAN CRESCENT SW,Y,5452,MACEWAN,Ipiihkoohkanipiaohtsi Ward,468000,53.42589065814177,-113.5258865,POINT (-113.52588648183337 53.42589065814177),100,,,RESIDENTIAL,,
9988970,,,,N,3440,WESTMOUNT,O-day'min Ward,8500,53.55520541672087,-113.5354033,POINT (-113.53540331342293 53.55520541672087),100,,,RESIDENTIAL,,
9989421,,7516,162 AVENUE NW,Y,2511,MAYLIEWAN,tastawiyiniwak Ward,477000,53.624551745189535,-113.4581273,POINT (-113.4581272695597 53.624551745189535),100,,,RESIDENTIAL,,
9991296,,706,88A STREET SW,N,6211,ELLERSLIE,Karhiio Ward,382000,53.426310644665506,-113.4696687,POINT (-113.46966866661434 53.426310644665506),100,,,RESIDENTIAL,,
9989254,,1307,BARNES CLOSE SW,Y,5453,BLACKMUD CREEK,Ipiihkoohkanipiaohtsi Ward,558500,53.4228153,-113.5122428,POINT (-113.51224281338935 53.422815304136),100,,,RESIDENTIAL,,
10004737,31,4350,23 STREET NW,Y,6390,LARKSPUR,Sspomitapi Ward,288500,53.481802167161405,-113.3788413,POINT (-113.37884132349839 53.481802167161405),100,,,RESIDENTIAL,,
10005904,,1827,35 AVENUE NW,Y,6790,WILD ROSE,Sspomitapi Ward,422500,53.46924071024249,-113.3714904,POINT (-113.37149043653528 53.46924071024249),100,,,RESIDENTIAL,,
10000137,,12919,162 AVENUE NW,Y,3320,OXFORD,Anirniq Ward,447500,53.623612972500645,-113.546395,POINT (-113.54639499601586 53.623612972500645),100,,,RESIDENTIAL,,
